problem_type;initial_state;goal_state;cstar
pancake;[4, 12, 1, 14, 3, 8, 7, 13, 6, 10, 9, 5, 2, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[2, 4, 11, 5, 14, 7, 10, 8, 6, 1, 12, 9, 3, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[13, 4, 1, 8, 10, 6, 7, 2, 11, 3, 9, 5, 14, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[1, 13, 11, 5, 2, 3, 4, 7, 10, 14, 12, 6, 8, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[9, 12, 1, 3, 6, 8, 14, 2, 7, 4, 10, 11, 13, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 11, 13, 4, 12, 3, 9, 14, 7, 10, 6, 5, 8, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[5, 3, 13, 12, 8, 4, 1, 10, 2, 14, 11, 7, 9, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[11, 7, 13, 6, 3, 2, 1, 10, 9, 5, 8, 12, 14, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[4, 13, 11, 9, 14, 8, 2, 10, 12, 6, 5, 1, 3, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[7, 13, 14, 6, 9, 3, 5, 4, 11, 2, 12, 10, 8, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[7, 9, 12, 2, 5, 13, 6, 8, 11, 4, 3, 10, 1, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[11, 6, 8, 13, 5, 1, 2, 12, 14, 10, 7, 9, 4, 3];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[5, 3, 13, 11, 8, 4, 6, 2, 12, 14, 7, 1, 9, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[4, 10, 12, 7, 14, 8, 13, 3, 5, 2, 1, 6, 9, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[10, 6, 13, 14, 1, 2, 11, 4, 3, 8, 9, 12, 7, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[11, 12, 7, 14, 3, 4, 10, 13, 6, 8, 2, 9, 5, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 2, 12, 9, 14, 10, 6, 4, 13, 5, 3, 8, 11, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[11, 5, 14, 2, 12, 13, 1, 8, 9, 3, 4, 6, 7, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[4, 14, 3, 9, 13, 12, 11, 5, 6, 7, 1, 10, 2, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[3, 11, 8, 7, 14, 1, 10, 9, 6, 13, 4, 5, 12, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[7, 2, 4, 11, 12, 10, 14, 1, 13, 9, 8, 3, 5, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[14, 11, 1, 3, 4, 7, 9, 10, 8, 2, 6, 12, 5, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[11, 7, 9, 1, 3, 12, 5, 10, 2, 6, 14, 13, 8, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[13, 3, 6, 7, 11, 9, 12, 4, 10, 2, 8, 5, 14, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[2, 3, 8, 1, 13, 10, 11, 6, 7, 5, 14, 12, 9, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[7, 3, 8, 13, 12, 6, 11, 5, 4, 2, 10, 1, 9, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[14, 9, 6, 13, 4, 10, 11, 8, 1, 7, 2, 12, 3, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[10, 9, 12, 2, 13, 6, 3, 11, 1, 14, 7, 5, 4, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[8, 7, 10, 13, 4, 3, 1, 6, 5, 9, 14, 2, 12, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[6, 11, 10, 12, 5, 14, 9, 13, 2, 1, 3, 4, 7, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[5, 9, 2, 4, 6, 3, 11, 8, 12, 1, 10, 13, 7, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[14, 12, 1, 3, 9, 7, 11, 10, 13, 8, 5, 2, 4, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[7, 9, 2, 6, 13, 4, 14, 8, 12, 11, 10, 5, 3, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[9, 3, 14, 1, 6, 7, 8, 13, 5, 11, 4, 2, 12, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[5, 3, 11, 9, 2, 10, 14, 12, 8, 6, 1, 7, 13, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[14, 9, 11, 4, 6, 3, 2, 1, 5, 13, 10, 12, 8, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[3, 2, 14, 10, 12, 13, 5, 6, 4, 1, 7, 8, 9, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];11
pancake;[9, 2, 12, 8, 3, 13, 10, 5, 6, 7, 14, 11, 1, 4];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[14, 5, 13, 7, 3, 11, 12, 2, 4, 6, 9, 10, 1, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[7, 9, 2, 11, 1, 6, 12, 13, 5, 14, 4, 3, 10, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[3, 13, 1, 10, 7, 11, 12, 8, 5, 4, 9, 2, 6, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[10, 14, 1, 6, 5, 2, 11, 3, 9, 12, 4, 13, 8, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[4, 2, 6, 8, 12, 1, 9, 13, 5, 10, 3, 14, 7, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[13, 10, 4, 7, 14, 12, 6, 1, 2, 11, 8, 5, 3, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[5, 9, 7, 3, 8, 13, 1, 2, 4, 12, 6, 10, 11, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[10, 8, 1, 6, 11, 5, 13, 9, 7, 2, 4, 14, 3, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[8, 4, 1, 2, 11, 3, 14, 10, 6, 7, 13, 9, 5, 12];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[10, 2, 8, 4, 12, 11, 3, 1, 5, 9, 6, 7, 14, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[12, 6, 14, 3, 9, 8, 5, 1, 13, 10, 2, 7, 4, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[2, 3, 14, 5, 7, 10, 11, 4, 6, 13, 9, 12, 1, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[6, 9, 14, 1, 11, 4, 5, 8, 2, 7, 3, 13, 12, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 7, 6, 2, 5, 13, 14, 8, 12, 4, 9, 3, 11, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[11, 1, 4, 9, 13, 12, 10, 3, 6, 8, 5, 7, 2, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[8, 9, 4, 12, 11, 14, 2, 13, 6, 7, 3, 1, 5, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[8, 3, 5, 14, 13, 7, 12, 11, 4, 9, 10, 1, 6, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[1, 13, 5, 3, 11, 14, 6, 10, 8, 12, 4, 2, 7, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];15
pancake;[3, 6, 8, 10, 7, 12, 5, 13, 9, 11, 4, 2, 14, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[14, 4, 2, 11, 13, 9, 7, 6, 10, 1, 5, 12, 3, 8];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[5, 1, 2, 6, 3, 8, 14, 12, 4, 11, 10, 7, 13, 9];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 2, 9, 11, 3, 12, 10, 8, 6, 14, 13, 7, 4, 5];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[9, 13, 8, 7, 14, 12, 6, 3, 10, 4, 5, 1, 2, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 10, 5, 9, 13, 8, 4, 11, 3, 2, 12, 14, 7, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 4, 7, 6, 10, 13, 8, 11, 5, 3, 9, 12, 14, 2];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[9, 13, 7, 3, 2, 14, 1, 4, 10, 11, 5, 8, 12, 6];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[10, 5, 3, 1, 8, 9, 12, 6, 14, 11, 2, 4, 7, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[6, 4, 7, 13, 3, 9, 10, 8, 5, 1, 12, 14, 2, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[4, 11, 6, 2, 7, 5, 13, 3, 12, 9, 8, 10, 14, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[12, 6, 4, 9, 11, 5, 10, 3, 1, 13, 8, 7, 2, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[14, 4, 5, 6, 2, 10, 13, 1, 11, 7, 9, 8, 12, 3];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[2, 8, 10, 5, 3, 12, 14, 7, 6, 4, 11, 13, 9, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 14, 6, 2, 9, 11, 7, 10, 4, 5, 13, 8, 12, 3];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[14, 1, 6, 3, 8, 4, 5, 9, 12, 2, 10, 7, 11, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[7, 1, 13, 3, 11, 2, 9, 14, 6, 4, 5, 8, 12, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[5, 14, 9, 6, 11, 10, 2, 1, 13, 4, 12, 8, 7, 3];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[8, 9, 14, 1, 5, 3, 6, 11, 13, 10, 2, 4, 12, 7];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[2, 1, 10, 9, 11, 7, 12, 5, 13, 4, 8, 3, 6, 14];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];12
pancake;[12, 7, 13, 6, 4, 14, 2, 5, 11, 9, 8, 3, 1, 10];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[1, 9, 2, 6, 4, 10, 13, 5, 14, 7, 3, 12, 8, 11];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];14
pancake;[4, 7, 9, 14, 5, 1, 8, 12, 2, 11, 10, 3, 6, 13];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
pancake;[3, 14, 11, 13, 8, 5, 10, 9, 4, 2, 6, 12, 7, 1];[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14];13
